cost_center,cost_center_name,company_code,division_id,division_name,department_id,department_name,parent_id,hierarchy_level,is_overhead,valid_from,valid_to,manager_user_id
CC-10-1001,Systems Design,NS10,NS10-ENG,Engineering,NS10-ENG-01,Systems Engineering,NS10-ENG-01,3,false,2023-01-01,9999-12-31,USR-734C7E
CC-10-1002,Requirements & V&V,NS10,NS10-ENG,Engineering,NS10-ENG-01,Systems Engineering,NS10-ENG-01,3,false,2023-01-01,9999-12-31,USR-B7AC97
CC-10-1003,Mission Analysis,NS10,NS10-ENG,Engineering,NS10-ENG-01,Systems Engineering,NS10-ENG-01,3,false,2023-01-01,9999-12-31,USR-A4D458
CC-10-1004,Avionics Integration,NS10,NS10-ENG,Engineering,NS10-ENG-01,Systems Engineering,NS10-ENG-01,3,false,2023-01-01,9999-12-31,USR-8362D1
CC-10-1005,Onboard Software,NS10,NS10-ENG,Engineering,NS10-ENG-02,Avionics & Software,NS10-ENG-02,3,false,2023-01-01,9999-12-31,USR-20CC0E
CC-10-1006,Simulation & Test Bench,NS10,NS10-ENG,Engineering,NS10-ENG-02,Avionics & Software,NS10-ENG-02,3,false,2023-01-01,9999-12-31,USR-734C7E
CC-10-1007,Structural Analysis,NS10,NS10-ENG,Engineering,NS10-ENG-02,Avionics & Software,NS10-ENG-02,3,false,2023-01-01,9999-12-31,USR-8362D1
CC-10-1008,Thermal Control,NS10,NS10-ENG,Engineering,NS10-ENG-02,Avionics & Software,NS10-ENG-02,3,false,2023-01-01,9999-12-31,USR-8362D1
CC-10-1009,Mechanisms,NS10,NS10-ENG,Engineering,NS10-ENG-03,Structures & Thermal,NS10-ENG-03,3,false,2023-01-01,9999-12-31,USR-ED4078
CC-10-1010,Systems Design 2,NS10,NS10-ENG,Engineering,NS10-ENG-03,Structures & Thermal,NS10-ENG-03,3,false,2023-01-01,9999-12-31,USR-181C01
CC-10-1011,Requirements & V&V 2,NS10,NS10-ENG,Engineering,NS10-ENG-03,Structures & Thermal,NS10-ENG-03,3,false,2023-01-01,9999-12-31,USR-D6F9BD
CC-10-1012,Mission Analysis 2,NS10,NS10-ENG,Engineering,NS10-ENG-03,Structures & Thermal,NS10-ENG-03,3,false,2023-01-01,9999-12-31,USR-16D926
CC-10-1013,Cleanroom AIT,NS10,NS10-MFG,Manufacturing,NS10-MFG-01,Assembly Integration & Test,NS10-MFG-01,3,false,2023-01-01,9999-12-31,USR-718397
CC-10-1014,Environmental Test,NS10,NS10-MFG,Manufacturing,NS10-MFG-01,Assembly Integration & Test,NS10-MFG-01,3,false,2023-01-01,9999-12-31,USR-160088
CC-10-1015,Harness Manufacturing,NS10,NS10-MFG,Manufacturing,NS10-MFG-01,Assembly Integration & Test,NS10-MFG-01,3,false,2023-01-01,9999-12-31,USR-339381
CC-10-1016,CNC Machining,NS10,NS10-MFG,Manufacturing,NS10-MFG-01,Assembly Integration & Test,NS10-MFG-01,3,false,2023-01-01,9999-12-31,USR-BC5A44
CC-10-1017,Composite Layup,NS10,NS10-MFG,Manufacturing,NS10-MFG-02,Machining & Composites,NS10-MFG-02,3,false,2023-01-01,9999-12-31,USR-C621FB
CC-10-1018,Surface Treatment,NS10,NS10-MFG,Manufacturing,NS10-MFG-02,Machining & Composites,NS10-MFG-02,3,false,2023-01-01,9999-12-31,USR-B286B6
CC-10-1019,Cleanroom AIT 2,NS10,NS10-MFG,Manufacturing,NS10-MFG-02,Machining & Composites,NS10-MFG-02,3,false,2023-01-01,9999-12-31,USR-C814CE
CC-10-1020,Environmental Test 2,NS10,NS10-MFG,Manufacturing,NS10-MFG-02,Machining & Composites,NS10-MFG-02,3,false,2023-01-01,9999-12-31,USR-C621FB
CC-10-1021,Harness Manufacturing 2,NS10,NS10-MFG,Manufacturing,NS10-MFG-02,Machining & Composites,NS10-MFG-02,3,false,2023-01-01,9999-12-31,USR-A4D458
CC-10-1022,Programme Office,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-01,Programme Management,NS10-PRG-01,3,false,2023-01-01,9999-12-31,USR-339381
CC-10-1023,Planning & Scheduling,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-01,Programme Management,NS10-PRG-01,3,false,2023-01-01,9999-12-31,USR-C2DA0D
CC-10-1024,Risk Management,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-01,Programme Management,NS10-PRG-01,3,false,2023-01-01,9999-12-31,USR-734C7E
CC-10-1025,Configuration Control,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-02,Configuration & Quality,NS10-PRG-02,3,false,2023-01-01,9999-12-31,USR-C93B82
CC-10-1026,Product Assurance,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-02,Configuration & Quality,NS10-PRG-02,3,false,2023-01-01,9999-12-31,USR-ED4078
CC-10-1027,Quality Inspection,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-02,Configuration & Quality,NS10-PRG-02,3,false,2023-01-01,9999-12-31,USR-718397
CC-10-1028,Procurement,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-02,Configuration & Quality,NS10-PRG-02,3,false,2023-01-01,9999-12-31,USR-734C7E
CC-10-1029,Supplier Development,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-03,Supply Chain,NS10-PRG-03,3,false,2023-01-01,9999-12-31,USR-BC5A44
CC-10-1030,Logistics,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-03,Supply Chain,NS10-PRG-03,3,false,2023-01-01,9999-12-31,USR-C814CE
CC-10-1031,Programme Office 2,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-03,Supply Chain,NS10-PRG-03,3,false,2023-01-01,9999-12-31,USR-181C01
CC-10-1032,Planning & Scheduling 2,NS10,NS10-PRG,Programmes & Projects,NS10-PRG-03,Supply Chain,NS10-PRG-03,3,false,2023-01-01,9999-12-31,USR-DBCD12
CC-10-1033,Mission Control,NS10,NS10-OPS,Operations & Ground,NS10-OPS-01,Ground Segment Operations,NS10-OPS-01,3,false,2023-01-01,9999-12-31,USR-705A56
CC-10-1034,Ground Station Network,NS10,NS10-OPS,Operations & Ground,NS10-OPS-01,Ground Segment Operations,NS10-OPS-01,3,false,2023-01-01,9999-12-31,USR-A791FF
CC-10-1035,Flight Dynamics,NS10,NS10-OPS,Operations & Ground,NS10-OPS-01,Ground Segment Operations,NS10-OPS-01,3,false,2023-01-01,9999-12-31,USR-ED4078
CC-10-1036,Launch Site Support,NS10,NS10-OPS,Operations & Ground,NS10-OPS-02,Launch Campaign Support,NS10-OPS-02,3,false,2023-01-01,9999-12-31,USR-5EEC9E
CC-10-1037,Transport & Handling,NS10,NS10-OPS,Operations & Ground,NS10-OPS-02,Launch Campaign Support,NS10-OPS-02,3,false,2023-01-01,9999-12-31,USR-5EEC9E
