programme_id,programme_name,programme_type,lead_company_code,start_date,end_date,total_budget_eur,status
PRG-HELIOS,Helios-3 Earth Observation Constellation,SATELLITE,NS10,2023-01-01,2027-12-31,690327297.27,ACTIVE
PRG-KESTREL,Kestrel Launcher Development,LAUNCHER,NS20,2023-01-01,2027-12-31,635184545.04,ACTIVE
PRG-AURORA,Aurora Deep-Space Relay,SATELLITE,NS30,2023-04-01,2028-06-30,406709949.22,ACTIVE
PRG-TERRA,TerraScan Ground Segment,GROUND_SEGMENT,NS40,2023-01-01,2026-12-31,153415707.26,CLOSING
PRG-MERIDIAN,Meridian Navigation Payload,SATELLITE,NS20,2023-07-01,2027-06-30,221525127.29,ACTIVE
PRG-CASTOR,Castor Smallsat Platform,SATELLITE,NS10,2024-01-01,2027-12-31,149382176.71,ACTIVE
PRG-PHAROS,Pharos Optical Comms Demonstrator,TECHNOLOGY,NS30,2023-01-01,2025-12-31,13333534.93,COMPLETED
PRG-VESTA,Vesta Propulsion Test Bench,TECHNOLOGY,NS20,2023-01-01,2026-06-30,63835743.7,CLOSING
PRG-LYRA,Lyra Constellation Operations,GROUND_SEGMENT,NS40,2024-07-01,2029-12-31,336501928.22,ACTIVE
PRG-BOREAS,Boreas Polar Weather Satellite,SATELLITE,NS30,2025-01-01,2029-12-31,467463035.27,ACTIVE
